"Year","Total Biomass (mt)","Spawning Output","Total Biomass 3+ (mt)","Fraction Unfished","Age-0 Recruits","Total Mortality (mt)","1-SPR","Exploitation Rate"
1892,439.441,29.2386,354.369,1,16.3319,0.00166366,8.45433e-05,4.69471088046641e-06
1893,439.439,29.2385,354.367,0.999996579863605,16.3319,0.00166366,8.45437e-05,4.69473737678734e-06
1894,439.438,29.2383,354.366,0.999989739590815,16.3319,0.00166366,8.45441e-05,4.69475062505997e-06
1895,439.438,29.2382,354.366,0.99998631945442,16.3319,0.000428482,2.17759e-05,1.20915099078354e-06
1896,439.439,29.2382,354.367,0.99998631945442,16.3319,0.000102267,5.19738e-06,2.88590641905144e-07
1897,439.442,29.2382,354.37,0.99998631945442,16.3319,0.000105691,5.37138e-06,2.98250416231622e-07
1898,439.445,29.2383,354.373,0.999989739590815,16.3319,5.88466e-05,2.99067e-06,1.66058362234143e-07
1899,439.449,29.2384,354.377,0.99999315972721,16.3319,0.000100465,5.10571e-06,2.83497518179792e-07
1900,439.454,29.2387,354.381,1.00000342013639,16.3319,0.000142084,7.22072e-06,4.00935716079587e-07
1901,439.458,29.239,354.386,1.00001368054558,16.332,0.000181708,9.23427e-06,5.12740345273233e-07
1902,439.463,29.2393,354.391,1.00002394095477,16.332,0.000223327,1.13491e-05,6.30171195092426e-07
1903,439.468,29.2397,354.396,1.00003762150035,16.332,0.000264946,1.34639e-05,7.47598731362656e-07
1904,439.473,29.2401,354.4,1.00005130204593,16.332,0.000306564,1.55786e-05,8.65022573363431e-07
1905,439.478,29.2405,354.405,1.00006498259151,16.332,0.000346188,1.75919e-05,9.76814661192703e-07
1906,439.483,29.2409,354.41,1.00007866313709,16.3321,0.000387807,1.97065e-05,1.09423266837843e-06
1907,439.487,29.2413,354.414,1.00009234368267,16.3321,0.000429426,2.1821e-05,1.21165078128968e-06
1908,439.491,29.2417,354.418,1.00010602422825,16.3321,0.00046905,2.38342e-05,1.32343729720274e-06
1909,439.495,29.2421,354.422,1.00011970477383,16.3321,0.000510669,2.59486e-05,1.44085017295766e-06
1910,439.499,29.2425,354.426,1.00013338531941,16.3321,0.000552288,2.8063e-05,1.5582603985035e-06
