"Year","Spawning Output","Lower Interval","Upper Interval","Fraction Unfished","Lower Interval","Upper Interval"
2011,27.4101,14.5905635663189,40.2296364336811,0.937464,0.654752914977989,1.22017508502201
2012,27.0386,14.3284687559359,39.7487312440641,0.924755,0.645957963055116,1.20355203694488
2013,26.4203,13.8197503423115,39.0208496576885,0.903609,0.627107080881012,1.18011091911899
2014,25.8689,13.4224231111362,38.3153768888638,0.884752,0.612226847805644,1.15727715219436
2015,25.4653,13.2294996398344,37.7011003601656,0.870948,0.605057325893312,1.13683867410669
2016,24.9432,12.9668008731883,36.9195991268117,0.85309,0.594713827810038,1.11146617218996
2017,24.3803,12.6866648772379,36.0739351227621,0.833839,0.58340264191141,1.08427535808859
2018,23.2581,11.8451905187436,34.6710094812564,0.795457,0.549265923901924,1.04164807609808
2019,22.2451,11.0451602053037,33.4450397946963,0.760811,0.51685036291633,1.00477163708367
2020,21.4714,10.338745768893,32.604054231107,0.734349,0.488741993169317,0.979956006830683
2021,21.3531,10.0550248085978,32.6511751914022,0.730305,0.478727942872408,0.981882057127592
