"Year","Age0","Age1","Age2","Age3","Age4","Age5","Age6","Age7","Age8","Age9","Age10","Age11","Age12","Age13","Age14","Age15","Age16","Age17","Age18","Age19","Age20","Age21","Age22","Age23","Age24","Age25","Age26","Age27","Age28","Age29","Age30","Age31","Age32","Age33","Age34","Age35","Age36","Age37","Age38","Age39","Age40","Age41","Age42","Age43","Age44","Age45","Age46","Age47","Age48","Age49","Age50","Age51","Age52","Age53","Age54","Age55","Age56","Age57","Age58","Age59","Age60","Age61","Age62","Age63","Age64","Age65"
1892,0.0255295,0.315491,0.943728,1.81912,2.80848,3.79631,4.70042,5.47144,6.08643,6.54143,6.84479,7.01202,7.062,7.01446,6.8884,6.70119,6.46811,6.20222,5.91446,5.61375,5.30727,5.00066,4.69828,4.4034,4.1184,3.84495,3.58416,3.33665,3.10272,2.88239,2.67547,2.48162,2.30038,2.13124,1.97363,1.82695,1.69059,1.56395,1.44643,1.33745,1.23644,1.14287,1.05624,0.976051,0.901857,0.833227,0.76976,0.711079,0.656833,0.606694,0.560359,0.517542,0.477982,0.441433,0.407669,0.37648,0.347671,0.321061,0.296484,0.273785,0.252821,0.23346,0.215581,0.199069,0.183821,2.2155
1893,0.0255295,0.315596,0.943728,1.81912,2.80848,3.79631,4.70042,5.47143,6.08641,6.5414,6.84476,7.01199,7.06196,7.01442,6.88836,6.70116,6.46807,6.20219,5.91443,5.61372,5.30724,5.00064,4.69826,4.40337,4.11838,3.84493,3.58414,3.33663,3.10271,2.88238,2.67546,2.4816,2.30037,2.13123,1.97362,1.82694,1.69059,1.56395,1.44642,1.33744,1.23643,1.14287,1.05623,0.976046,0.901852,0.833223,0.769756,0.711075,0.656829,0.606691,0.560356,0.51754,0.47798,0.441431,0.407667,0.376478,0.347669,0.321059,0.296482,0.273783,0.25282,0.233459,0.21558,0.199068,0.18382,2.21549
1894,0.0255295,0.315595,0.944041,1.81912,2.80848,3.79631,4.70042,5.47142,6.0864,6.54138,6.84473,7.01195,7.06193,7.01438,6.88833,6.70112,6.46804,6.20216,5.9144,5.61369,5.30722,5.00061,4.69823,4.40335,4.11835,3.84491,3.58412,3.33662,3.10269,2.88237,2.67544,2.48159,2.30036,2.13122,1.97361,1.82693,1.69058,1.56394,1.44642,1.33743,1.23643,1.14286,1.05623,0.976041,0.901848,0.833219,0.769752,0.711071,0.656826,0.606688,0.560353,0.517537,0.477977,0.441429,0.407665,0.376476,0.347667,0.321058,0.296481,0.273782,0.252818,0.233458,0.215579,0.199067,0.18382,2.21548
1895,0.0255295,0.315595,0.944041,1.81973,2.80848,3.79631,4.70042,5.47142,6.08639,6.54136,6.84471,7.01192,7.06189,7.01435,6.88829,6.70109,6.46801,6.20213,5.91437,5.61367,5.30719,5.00059,4.69821,4.40333,4.11833,3.84489,3.5841,3.3366,3.10268,2.88235,2.67543,2.48158,2.30034,2.13121,1.9736,1.82692,1.69057,1.56393,1.44641,1.33742,1.23642,1.14285,1.05622,0.976036,0.901843,0.833214,0.769748,0.711068,0.656823,0.606685,0.56035,0.517534,0.477975,0.441427,0.407663,0.376474,0.347665,0.321056,0.296479,0.27378,0.252817,0.233457,0.215578,0.199066,0.183819,2.21547
1896,0.0255295,0.315595,0.94404,1.81973,2.80942,3.79631,4.70042,5.47143,6.08641,6.54138,6.84472,7.01193,7.06189,7.01434,6.88829,6.70108,6.468,6.20212,5.91436,5.61366,5.30718,5.00058,4.6982,4.40332,4.11833,3.84489,3.5841,3.33659,3.10267,2.88235,2.67543,2.48157,2.30034,2.13121,1.9736,1.82692,1.69057,1.56393,1.44641,1.33742,1.23642,1.14285,1.05622,0.976034,0.901842,0.833213,0.769747,0.711067,0.656822,0.606684,0.560349,0.517534,0.477974,0.441426,0.407663,0.376474,0.347665,0.321055,0.296479,0.27378,0.252817,0.233457,0.215577,0.199066,0.183818,2.21547
1897,0.0255295,0.315595,0.94404,1.81973,2.80941,3.79757,4.70042,5.47144,6.08642,6.5414,6.84474,7.01194,7.0619,7.01434,6.88829,6.70108,6.468,6.20212,5.91436,5.61366,5.30718,5.00058,4.6982,4.40332,4.11833,3.84489,3.58409,3.33659,3.10267,2.88235,2.67543,2.48157,2.30034,2.13121,1.9736,1.82692,1.69057,1.56393,1.44641,1.33742,1.23642,1.14285,1.05622,0.976034,0.901842,0.833213,0.769747,0.711067,0.656821,0.606684,0.560349,0.517534,0.477974,0.441426,0.407662,0.376474,0.347665,0.321055,0.296479,0.27378,0.252817,0.233456,0.215577,0.199066,0.183818,2.21547
1898,0.0255295,0.315595,0.94404,1.81973,2.80941,3.79757,4.70198,5.47144,6.08643,6.54142,6.84476,7.01197,7.06192,7.01435,6.88829,6.70108,6.468,6.20212,5.91436,5.61365,5.30718,5.00058,4.6982,4.40332,4.11833,3.84488,3.58409,3.33659,3.10267,2.88234,2.67543,2.48157,2.30034,2.1312,1.9736,1.82692,1.69057,1.56393,1.44641,1.33742,1.23642,1.14285,1.05622,0.976034,0.901841,0.833213,0.769747,0.711066,0.656821,0.606684,0.560349,0.517533,0.477974,0.441426,0.407662,0.376474,0.347665,0.321055,0.296479,0.27378,0.252817,0.233456,0.215577,0.199066,0.183818,2.21547
1899,0.0255295,0.315595,0.94404,1.81973,2.80941,3.79757,4.70198,5.47325,6.08643,6.54142,6.84478,7.01199,7.06194,7.01437,6.8883,6.70108,6.468,6.20212,5.91436,5.61365,5.30718,5.00058,4.6982,4.40332,4.11832,3.84488,3.58409,3.33659,3.10267,2.88234,2.67542,2.48157,2.30034,2.1312,1.9736,1.82692,1.69056,1.56393,1.44641,1.33742,1.23642,1.14285,1.05622,0.976033,0.901841,0.833213,0.769746,0.711066,0.656821,0.606684,0.560349,0.517533,0.477974,0.441426,0.407662,0.376474,0.347665,0.321055,0.296478,0.27378,0.252817,0.233456,0.215577,0.199066,0.183818,2.21547
1900,0.0255295,0.315595,0.94404,1.81973,2.80941,3.79757,4.70197,5.47325,6.08845,6.54142,6.84479,7.01201,7.06196,7.0144,6.88832,6.70109,6.468,6.20212,5.91436,5.61365,5.30718,5.00057,4.6982,4.40332,4.11832,3.84488,3.58409,3.33659,3.10267,2.88234,2.67542,2.48157,2.30034,2.1312,1.9736,1.82692,1.69056,1.56393,1.4464,1.33742,1.23642,1.14285,1.05622,0.976033,0.901841,0.833212,0.769746,0.711066,0.656821,0.606683,0.560349,0.517533,0.477974,0.441425,0.407662,0.376473,0.347664,0.321055,0.296478,0.27378,0.252816,0.233456,0.215577,0.199066,0.183818,2.21547
1901,0.0255296,0.315596,0.944041,1.81973,2.80941,3.79757,4.70197,5.47325,6.08844,6.54359,6.84479,7.01201,7.06198,7.01442,6.88834,6.7011,6.46801,6.20212,5.91435,5.61365,5.30717,5.00057,4.6982,4.40332,4.11832,3.84488,3.58409,3.33659,3.10267,2.88234,2.67542,2.48157,2.30034,2.1312,1.9736,1.82692,1.69056,1.56392,1.4464,1.33742,1.23642,1.14285,1.05622,0.976033,0.90184,0.833212,0.769746,0.711066,0.656821,0.606683,0.560348,0.517533,0.477973,0.441425,0.407662,0.376473,0.347664,0.321055,0.296478,0.27378,0.252816,0.233456,0.215577,0.199066,0.183818,2.21546
