"Year","Age0","Age1","Age2","Age3","Age4","Age5","Age6","Age7","Age8","Age9","Age10","Age11","Age12","Age13","Age14","Age15","Age16","Age17","Age18","Age19","Age20","Age21","Age22","Age23","Age24","Age25","Age26","Age27","Age28","Age29","Age30","Age31","Age32","Age33","Age34","Age35","Age36","Age37","Age38","Age39","Age40","Age41","Age42","Age43","Age44","Age45","Age46","Age47","Age48","Age49","Age50","Age51","Age52","Age53","Age54","Age55","Age56","Age57","Age58","Age59","Age60","Age61","Age62","Age63","Age64","Age65"
1892,82.9091,0.142483,0.735256,1.69814,2.83394,3.97049,4.99334,5.84123,6.49214,6.94944,7.23093,7.36121,7.36679,7.27316,7.10329,6.87701,6.61087,6.31837,6.01026,5.69495,5.3789,5.06694,4.76261,4.46843,4.1861,3.91669,3.66081,3.41867,3.19024,2.97529,2.77343,2.58418,2.407,2.24132,2.08654,1.94205,1.80727,1.6816,1.56448,1.45538,1.35377,1.25917,1.17112,1.08917,1.01291,0.941965,0.875962,0.814564,0.757456,0.704339,0.654939,0.608996,0.566271,0.526539,0.489592,0.455235,0.423287,0.393579,0.365955,0.34027,0.316386,0.294178,0.273528,0.254328,0.236475,3.13214
1893,82.9091,0.14253,0.735256,1.69814,2.83394,3.97049,4.99334,5.84122,6.49212,6.94941,7.23089,7.36118,7.36676,7.27312,7.10326,6.87697,6.61083,6.31833,6.01023,5.69492,5.37887,5.06691,4.76259,4.46841,4.18608,3.91667,3.66079,3.41865,3.19023,2.97527,2.77341,2.58417,2.40699,2.24131,2.08653,1.94204,1.80726,1.68159,1.56447,1.45537,1.35377,1.25917,1.17111,1.08916,1.01291,0.94196,0.875957,0.81456,0.757452,0.704336,0.654936,0.608993,0.566268,0.526537,0.48959,0.455233,0.423285,0.393577,0.365954,0.340268,0.316384,0.294176,0.273527,0.254327,0.236474,3.13213
1894,82.909,0.14253,0.7355,1.69814,2.83394,3.97049,4.99334,5.84121,6.4921,6.94938,7.23086,7.36114,7.36672,7.27309,7.10322,6.87694,6.6108,6.3183,6.0102,5.69489,5.37884,5.06689,4.76256,4.46838,4.18606,3.91665,3.66077,3.41864,3.19021,2.97526,2.7734,2.58415,2.40698,2.2413,2.08652,1.94203,1.80725,1.68158,1.56446,1.45536,1.35376,1.25916,1.17111,1.08916,1.0129,0.941955,0.875953,0.814556,0.757448,0.704332,0.654932,0.60899,0.566265,0.526534,0.489587,0.45523,0.423282,0.393575,0.365952,0.340266,0.316383,0.294175,0.273526,0.254325,0.236473,3.13211
1895,82.909,0.14253,0.7355,1.69871,2.83394,3.97049,4.99334,5.84121,6.4921,6.94937,7.23083,7.36111,7.36668,7.27305,7.10318,6.8769,6.61077,6.31827,6.01016,5.69486,5.37882,5.06686,4.76254,4.46836,4.18603,3.91663,3.66075,3.41862,3.1902,2.97524,2.77338,2.58414,2.40697,2.24129,2.08651,1.94202,1.80724,1.68157,1.56446,1.45536,1.35375,1.25915,1.1711,1.08915,1.0129,0.94195,0.875948,0.814552,0.757444,0.704328,0.654929,0.608987,0.566263,0.526531,0.489585,0.455228,0.42328,0.393573,0.36595,0.340264,0.316381,0.294173,0.273524,0.254324,0.236472,3.13209
1896,82.909,0.14253,0.735499,1.69871,2.83488,3.97049,4.99334,5.84122,6.49212,6.94939,7.23085,7.36111,7.36668,7.27304,7.10317,6.87689,6.61076,6.31826,6.01016,5.69486,5.37881,5.06685,4.76253,4.46835,4.18603,3.91663,3.66074,3.41861,3.19019,2.97524,2.77338,2.58414,2.40696,2.24129,2.08651,1.94202,1.80724,1.68157,1.56445,1.45535,1.35375,1.25915,1.1711,1.08915,1.0129,0.941949,0.875947,0.814551,0.757443,0.704328,0.654928,0.608986,0.566262,0.526531,0.489584,0.455227,0.42328,0.393573,0.365949,0.340264,0.31638,0.294173,0.273524,0.254324,0.236471,3.13209
1897,82.909,0.14253,0.735499,1.6987,2.83488,3.97181,4.99334,5.84123,6.49213,6.94941,7.23087,7.36113,7.36668,7.27304,7.10317,6.87689,6.61076,6.31826,6.01015,5.69486,5.37881,5.06685,4.76253,4.46835,4.18603,3.91663,3.66074,3.41861,3.19019,2.97524,2.77338,2.58413,2.40696,2.24129,2.08651,1.94202,1.80724,1.68157,1.56445,1.45535,1.35375,1.25915,1.1711,1.08915,1.0129,0.941949,0.875947,0.81455,0.757443,0.704327,0.654928,0.608986,0.566262,0.52653,0.489584,0.455227,0.42328,0.393572,0.365949,0.340264,0.31638,0.294173,0.273524,0.254324,0.236471,3.13209
1898,82.909,0.14253,0.735499,1.6987,2.83488,3.97181,4.995,5.84123,6.49214,6.94943,7.2309,7.36115,7.3667,7.27305,7.10317,6.87689,6.61075,6.31826,6.01015,5.69485,5.37881,5.06685,4.76253,4.46835,4.18603,3.91662,3.66074,3.41861,3.19019,2.97524,2.77338,2.58413,2.40696,2.24129,2.08651,1.94202,1.80724,1.68157,1.56445,1.45535,1.35375,1.25915,1.1711,1.08915,1.0129,0.941949,0.875946,0.81455,0.757442,0.704327,0.654928,0.608986,0.566261,0.52653,0.489584,0.455227,0.423279,0.393572,0.365949,0.340264,0.31638,0.294173,0.273524,0.254324,0.236471,3.13209
1899,82.9091,0.14253,0.735499,1.6987,2.83488,3.97181,4.995,5.84316,6.49214,6.94943,7.23091,7.36118,7.36673,7.27307,7.10318,6.87689,6.61075,6.31826,6.01015,5.69485,5.3788,5.06685,4.76253,4.46835,4.18602,3.91662,3.66074,3.41861,3.19019,2.97524,2.77338,2.58413,2.40696,2.24128,2.08651,1.94202,1.80724,1.68157,1.56445,1.45535,1.35375,1.25915,1.1711,1.08915,1.0129,0.941948,0.875946,0.81455,0.757442,0.704327,0.654927,0.608986,0.566261,0.52653,0.489584,0.455227,0.423279,0.393572,0.365949,0.340264,0.31638,0.294173,0.273524,0.254324,0.236471,3.13209
1900,82.9091,0.14253,0.735499,1.6987,2.83488,3.9718,4.99499,5.84316,6.49429,6.94944,7.23092,7.3612,7.36676,7.2731,7.1032,6.8769,6.61076,6.31825,6.01015,5.69485,5.3788,5.06685,4.76253,4.46835,4.18602,3.91662,3.66074,3.41861,3.19019,2.97524,2.77338,2.58413,2.40696,2.24128,2.0865,1.94202,1.80723,1.68157,1.56445,1.45535,1.35375,1.25915,1.1711,1.08915,1.0129,0.941948,0.875946,0.81455,0.757442,0.704327,0.654927,0.608986,0.566261,0.52653,0.489583,0.455227,0.423279,0.393572,0.365949,0.340263,0.31638,0.294173,0.273524,0.254324,0.236471,3.13209
1901,82.9092,0.14253,0.735499,1.6987,2.83488,3.9718,4.99499,5.84316,6.49429,6.95174,7.23092,7.3612,7.36677,7.27312,7.10323,6.87692,6.61076,6.31826,6.01015,5.69485,5.3788,5.06684,4.76252,4.46835,4.18602,3.91662,3.66074,3.41861,3.19019,2.97524,2.77338,2.58413,2.40696,2.24128,2.0865,1.94202,1.80723,1.68157,1.56445,1.45535,1.35375,1.25915,1.1711,1.08915,1.01289,0.941948,0.875946,0.814549,0.757442,0.704326,0.654927,0.608985,0.566261,0.52653,0.489583,0.455227,0.423279,0.393572,0.365949,0.340263,0.31638,0.294173,0.273523,0.254323,0.236471,3.13209
