"Year","Age0","Age1","Age2","Age3","Age4","Age5","Age6","Age7","Age8","Age9","Age10","Age11","Age12","Age13","Age14","Age15","Age16","Age17","Age18","Age19","Age20","Age21","Age22","Age23","Age24","Age25","Age26","Age27","Age28","Age29","Age30","Age31","Age32","Age33","Age34","Age35","Age36","Age37","Age38","Age39","Age40","Age41","Age42","Age43","Age44","Age45","Age46","Age47","Age48","Age49","Age50","Age51","Age52","Age53","Age54","Age55","Age56","Age57","Age58","Age59","Age60","Age61","Age62","Age63","Age64","Age65"
1892,8.16597,7.53772,6.96011,6.42677,5.93429,5.47955,5.05966,4.67195,4.31394,3.98337,3.67813,3.39627,3.13602,2.89571,2.67382,2.46893,2.27973,2.10504,1.94373,1.79479,1.65725,1.53026,1.413,1.30472,1.20474,1.11242,1.02718,0.948469,0.875789,0.808678,0.74671,0.689491,0.636656,0.587869,0.542822,0.501226,0.462817,0.427352,0.394605,0.364367,0.336446,0.310664,0.286858,0.264877,0.244579,0.225838,0.208532,0.192552,0.177797,0.164173,0.151592,0.139976,0.12925,0.119346,0.1102,0.101756,0.0939583,0.0867584,0.0801102,0.0739714,0.0683031,0.0630691,0.0582362,0.0537736,0.049653,0.598314
1893,8.16597,7.54022,6.96011,6.42677,5.93429,5.47955,5.05966,4.67194,4.31392,3.98335,3.67811,3.39626,3.13601,2.8957,2.6738,2.46891,2.27972,2.10503,1.94372,1.79478,1.65725,1.53025,1.41299,1.30472,1.20474,1.11242,1.02718,0.948464,0.875785,0.808674,0.746706,0.689487,0.636652,0.587866,0.542819,0.501223,0.462815,0.42735,0.394603,0.364365,0.336444,0.310663,0.286857,0.264875,0.244578,0.225836,0.208531,0.192551,0.177796,0.164172,0.151592,0.139975,0.129249,0.119345,0.1102,0.101755,0.0939578,0.0867579,0.0801098,0.0739711,0.0683027,0.0630688,0.0582359,0.0537733,0.0496527,0.598311
1894,8.16596,7.54022,6.96242,6.42677,5.93429,5.47955,5.05966,4.67193,4.31392,3.98334,3.67809,3.39624,3.13599,2.89568,2.67379,2.4689,2.27971,2.10502,1.94371,1.79477,1.65724,1.53025,1.41298,1.30471,1.20473,1.11241,1.02717,0.948459,0.87578,0.80867,0.746703,0.689484,0.636649,0.587863,0.542816,0.501221,0.462813,0.427348,0.394601,0.364363,0.336442,0.310661,0.286855,0.264874,0.244577,0.225835,0.20853,0.19255,0.177795,0.164171,0.151591,0.139975,0.129249,0.119344,0.110199,0.101755,0.0939574,0.0867575,0.0801094,0.0739707,0.0683024,0.0630684,0.0582356,0.0537731,0.0496525,0.598308
1895,8.16596,7.54021,6.96242,6.4289,5.93429,5.47955,5.05966,4.67193,4.31391,3.98333,3.67808,3.39623,3.13598,2.89567,2.67378,2.46889,2.2797,2.10501,1.9437,1.79476,1.65723,1.53024,1.41298,1.3047,1.20472,1.11241,1.02717,0.948455,0.875776,0.808666,0.746699,0.68948,0.636646,0.58786,0.542813,0.501218,0.46281,0.427346,0.394599,0.364361,0.33644,0.310659,0.286854,0.264873,0.244576,0.225834,0.208529,0.192549,0.177795,0.16417,0.15159,0.139974,0.129248,0.119344,0.110199,0.101754,0.0939569,0.0867571,0.080109,0.0739703,0.068302,0.0630681,0.0582353,0.0537728,0.0496522,0.598305
1896,8.16596,7.54021,6.96241,6.4289,5.93626,5.47955,5.05966,4.67194,4.31392,3.98334,3.67808,3.39623,3.13597,2.89566,2.67377,2.46888,2.2797,2.10501,1.9437,1.79476,1.65723,1.53024,1.41298,1.3047,1.20472,1.11241,1.02716,0.948453,0.875774,0.808665,0.746698,0.689479,0.636645,0.58786,0.542813,0.501217,0.46281,0.427345,0.394598,0.36436,0.33644,0.310659,0.286853,0.264872,0.244575,0.225834,0.208528,0.192549,0.177794,0.16417,0.15159,0.139974,0.129248,0.119344,0.110198,0.101754,0.0939567,0.0867569,0.0801089,0.0739702,0.0683019,0.063068,0.0582352,0.0537727,0.0496522,0.598304
1897,8.16596,7.54021,6.96241,6.42889,5.93626,5.48137,5.05966,4.67194,4.31393,3.98335,3.6781,3.39624,3.13598,2.89567,2.67377,2.46888,2.2797,2.105,1.9437,1.79476,1.65723,1.53024,1.41297,1.3047,1.20472,1.11241,1.02716,0.948453,0.875774,0.808665,0.746697,0.689479,0.636645,0.587859,0.542812,0.501217,0.46281,0.427345,0.394598,0.36436,0.33644,0.310659,0.286853,0.264872,0.244575,0.225834,0.208528,0.192549,0.177794,0.16417,0.15159,0.139974,0.129248,0.119344,0.110198,0.101754,0.0939567,0.0867569,0.0801088,0.0739702,0.0683019,0.063068,0.0582352,0.0537727,0.0496521,0.598304
1898,8.16596,7.54021,6.96241,6.42889,5.93625,5.48137,5.06134,4.67194,4.31394,3.98336,3.67811,3.39625,3.13599,2.89567,2.67377,2.46888,2.27969,2.105,1.9437,1.79476,1.65723,1.53023,1.41297,1.3047,1.20472,1.11241,1.02716,0.948453,0.875774,0.808664,0.746697,0.689479,0.636645,0.587859,0.542812,0.501217,0.462809,0.427345,0.394598,0.36436,0.33644,0.310659,0.286853,0.264872,0.244575,0.225834,0.208528,0.192549,0.177794,0.16417,0.15159,0.139974,0.129248,0.119344,0.110198,0.101754,0.0939567,0.0867569,0.0801088,0.0739702,0.0683019,0.063068,0.0582352,0.0537727,0.0496521,0.598303
1899,8.16596,7.54021,6.96241,6.42889,5.93625,5.48136,5.06134,4.67349,4.31394,3.98336,3.67812,3.39626,3.136,2.89568,2.67378,2.46888,2.2797,2.105,1.9437,1.79476,1.65723,1.53023,1.41297,1.3047,1.20472,1.11241,1.02716,0.948453,0.875774,0.808664,0.746697,0.689478,0.636645,0.587859,0.542812,0.501217,0.462809,0.427345,0.394598,0.36436,0.33644,0.310659,0.286853,0.264872,0.244575,0.225834,0.208528,0.192549,0.177794,0.16417,0.15159,0.139974,0.129248,0.119344,0.110198,0.101754,0.0939567,0.0867569,0.0801088,0.0739701,0.0683019,0.063068,0.0582352,0.0537727,0.0496521,0.598303
1900,8.16597,7.54022,6.96241,6.42889,5.93625,5.48136,5.06133,4.67349,4.31537,3.98336,3.67812,3.39627,3.13601,2.89569,2.67378,2.46889,2.2797,2.105,1.9437,1.79476,1.65723,1.53023,1.41297,1.3047,1.20472,1.11241,1.02716,0.948452,0.875773,0.808664,0.746697,0.689478,0.636644,0.587859,0.542812,0.501217,0.462809,0.427345,0.394598,0.36436,0.33644,0.310659,0.286853,0.264872,0.244575,0.225834,0.208528,0.192549,0.177794,0.16417,0.15159,0.139974,0.129248,0.119343,0.110198,0.101754,0.0939566,0.0867568,0.0801088,0.0739701,0.0683019,0.063068,0.0582351,0.0537726,0.0496521,0.598303
1901,8.16598,7.54022,6.96242,6.42889,5.93625,5.48136,5.06133,4.67349,4.31537,3.98468,3.67812,3.39627,3.13601,2.8957,2.67379,2.46889,2.2797,2.105,1.9437,1.79475,1.65722,1.53023,1.41297,1.3047,1.20472,1.1124,1.02716,0.948452,0.875773,0.808664,0.746697,0.689478,0.636644,0.587859,0.542812,0.501217,0.462809,0.427344,0.394597,0.36436,0.336439,0.310658,0.286853,0.264872,0.244575,0.225833,0.208528,0.192549,0.177794,0.16417,0.15159,0.139974,0.129248,0.119343,0.110198,0.101754,0.0939566,0.0867568,0.0801087,0.0739701,0.0683018,0.0630679,0.0582351,0.0537726,0.0496521,0.598303
1902,8.16599,7.54023,6.96242,6.42889,5.93625,5.48136,5.06133,4.67349,4.31536,3.98468,3.67934,3.39627,3.13602,2.8957,2.6738,2.4689,2.2797,2.10501,1.9437,1.79475,1.65722,1.53023,1.41297,1.3047,1.20472,1.1124,1.02716,0.948451,0.875773,0.808663,0.746696,0.689478,0.636644,0.587858,0.542811,0.501216,0.462809,0.427344,0.394597,0.36436,0.336439,0.310658,0.286853,0.264872,0.244575,0.225833,0.208528,0.192549,0.177794,0.16417,0.15159,0.139973,0.129247,0.119343,0.110198,0.101754,0.0939565,0.0867568,0.0801087,0.07397,0.0683018,0.0630679,0.0582351,0.0537726,0.0496521,0.598303
1903,8.166,7.54024,6.96243,6.4289,5.93626,5.48136,5.06133,4.67349,4.31536,3.98468,3.67934,3.39739,3.13602,2.8957,2.67381,2.46891,2.27971,2.10501,1.9437,1.79475,1.65722,1.53023,1.41297,1.3047,1.20472,1.1124,1.02716,0.948451,0.875772,0.808662,0.746696,0.689477,0.636643,0.587858,0.542811,0.501216,0.462808,0.427344,0.394597,0.364359,0.336439,0.310658,0.286853,0.264871,0.244575,0.225833,0.208528,0.192549,0.177794,0.16417,0.151589,0.139973,0.129247,0.119343,0.110198,0.101754,0.0939565,0.0867567,0.0801086,0.07397,0.0683018,0.0630679,0.058235,0.0537726,0.049652,0.598302
1904,8.16601,7.54025,6.96244,6.42891,5.93626,5.48137,5.06133,4.67349,4.31536,3.98468,3.67933,3.39739,3.13705,2.8957,2.67381,2.46891,2.27972,2.10502,1.9437,1.79476,1.65722,1.53023,1.41297,1.3047,1.20472,1.1124,1.02716,0.94845,0.875771,0.808662,0.746695,0.689477,0.636643,0.587857,0.542811,0.501216,0.462808,0.427344,0.394597,0.364359,0.336439,0.310658,0.286852,0.264871,0.244574,0.225833,0.208528,0.192548,0.177794,0.164169,0.151589,0.139973,0.129247,0.119343,0.110198,0.101754,0.0939564,0.0867566,0.0801086,0.0739699,0.0683017,0.0630678,0.058235,0.0537725,0.049652,0.598302
1905,8.16602,7.54026,6.96245,6.42891,5.93627,5.48137,5.06133,4.67349,4.31536,3.98467,3.67933,3.39739,3.13705,2.89666,2.67381,2.46891,2.27972,2.10502,1.94371,1.79476,1.65722,1.53023,1.41297,1.30469,1.20472,1.1124,1.02716,0.948449,0.87577,0.808661,0.746694,0.689476,0.636642,0.587857,0.54281,0.501215,0.462808,0.427343,0.394596,0.364359,0.336438,0.310657,0.286852,0.264871,0.244574,0.225833,0.208527,0.192548,0.177793,0.164169,0.151589,0.139973,0.129247,0.119343,0.110198,0.101754,0.0939563,0.0867565,0.0801085,0.0739699,0.0683016,0.0630678,0.0582349,0.0537725,0.0496519,0.598301
1906,8.16603,7.54027,6.96246,6.42892,5.93627,5.48138,5.06134,4.67349,4.31536,3.98467,3.67933,3.39738,3.13705,2.89666,2.67469,2.46891,2.27972,2.10503,1.94372,1.79476,1.65723,1.53023,1.41297,1.30469,1.20472,1.1124,1.02716,0.948448,0.875769,0.80866,0.746693,0.689475,0.636641,0.587856,0.54281,0.501215,0.462807,0.427343,0.394596,0.364358,0.336438,0.310657,0.286852,0.264871,0.244574,0.225833,0.208527,0.192548,0.177793,0.164169,0.151589,0.139973,0.129247,0.119343,0.110198,0.101753,0.0939562,0.0867565,0.0801084,0.0739698,0.0683016,0.0630677,0.0582349,0.0537724,0.0496519,0.5983
