Model selection for binomial and positive delta-GLM for Oregon ORBS CPUE index. Selected models are highlighted in grey. ,,,,
,,,,
Model,Binomial,,Positive (log CPUE),
(delta-GLM),AIC,delta AIC,AIC,delta AIC
YEAR,6494,-,14705,-
YEAR + BOAT TYPE,6483,11,13021,1684
YEAR + MONTH,6496,2,14640,65
YEAR + BAG LIMIT,6495,1,14705,0
YEAR + OPEN DEPTHS,6487,7,14707,2
YEAR + BOAT TYPE + OPEN DEPTHS ,6477,17,-,-
YEAR + BOAT TYPE + OPEN DEPTHS + YEAR:BOAT TYPE ,6476,18,-,-
YEAR + BOAT TYPE + MONTH,-,-,12982,1723
YEAR + BOAT TYPE + MONTH + YEAR:BOAT TYPE ,-,-,12958,1747
